time,RIV01,RIV02,RIV03,RIV04,RIV05,RIV06,RIV07,RIV08,RIV09,RIV10,RIV11,RIV12,RIV13
2221.400000000,-0.32236E+06,-0.10284E+08,-0.45811E+07,-0.22484E+07,-0.77741E+06,-0.14301E+08,-0.71184E+07,-0.62043E+07,-0.22370E+07,-0.27314E+07,-0.57814E+07,-0.43292E+07,-0.17603E+08
2252.400000000,-0.26771E+06,-0.95264E+07,-0.43535E+07,-0.19088E+07,-0.63347E+06,-0.13218E+08,-0.65750E+07,-0.59278E+07,-0.22044E+07,-0.27520E+07,-0.57740E+07,-0.43577E+07,-0.17634E+08
2281.400000000,-0.23044E+06,-0.89139E+07,-0.41898E+07,-0.20855E+07,-0.60341E+06,-0.12645E+08,-0.63187E+07,-0.57552E+07,-0.21816E+07,-0.27608E+07,-0.57663E+07,-0.43705E+07,-0.17649E+08
2312.400000000,-0.26021E+06,-0.84191E+07,-0.42757E+07,-0.20881E+07,-0.55015E+06,-0.11882E+08,-0.59417E+07,-0.56480E+07,-0.21892E+07,-0.27622E+07,-0.57571E+07,-0.43740E+07,-0.17655E+08
2342.400000000,-0.65758E+06,-0.87375E+07,-0.36146E+07,0.12870E+07,-0.18675E+07,-0.13044E+08,-0.65151E+07,-0.95756E+07,-0.28037E+07,-0.26856E+07,-0.57411E+07,-0.43627E+07,-0.17553E+08
2373.400000000,-0.93973E+06,-0.94486E+07,-0.46355E+07,-0.35959E+07,-0.28553E+07,-0.14544E+08,-0.72448E+07,-0.12353E+08,-0.30373E+07,-0.26181E+07,-0.57209E+07,-0.42758E+07,-0.17374E+08
2403.400000000,-0.86104E+06,-0.97864E+07,-0.60923E+07,-0.85163E+07,-0.28725E+07,-0.15616E+08,-0.78861E+07,-0.11937E+08,-0.29312E+07,-0.25706E+07,-0.57080E+07,-0.43105E+07,-0.17402E+08
2434.400000000,-0.78076E+06,-0.99063E+07,-0.56772E+07,-0.94909E+07,-0.24841E+07,-0.15935E+08,-0.81276E+07,-0.11238E+08,-0.27920E+07,-0.25133E+07,-0.56936E+07,-0.42405E+07,-0.17373E+08
2465.400000000,-0.87655E+06,-0.10082E+08,-0.49540E+07,-0.36587E+07,-0.18919E+07,-0.15468E+08,-0.78509E+07,-0.83516E+07,-0.25067E+07,-0.20930E+07,-0.56577E+07,-0.41314E+07,-0.17220E+08
2495.400000000,-0.81865E+06,-0.10259E+08,-0.52736E+07,-0.81704E+06,-0.16698E+07,-0.14975E+08,-0.76940E+07,-0.84961E+07,-0.25231E+07,-0.22206E+07,-0.56363E+07,-0.41304E+07,-0.17253E+08
2526.400000000,-0.63812E+06,-0.10249E+08,-0.54703E+07,-0.14425E+07,-0.15152E+07,-0.14348E+08,-0.73089E+07,-0.83224E+07,-0.24127E+07,-0.23678E+07,-0.56270E+07,-0.41924E+07,-0.17379E+08
2556.400000000,-0.31118E+06,-0.94428E+07,-0.45501E+07,-0.19588E+07,-0.81826E+06,-0.13299E+08,-0.67478E+07,-0.61526E+07,-0.20105E+07,-0.24845E+07,-0.56223E+07,-0.42312E+07,-0.17470E+08
2587.400000000,-0.24622E+06,-0.87641E+07,-0.40158E+07,-0.21821E+07,-0.61241E+06,-0.12610E+08,-0.63148E+07,-0.57637E+07,-0.19707E+07,-0.25391E+07,-0.56177E+07,-0.42712E+07,-0.17524E+08
2618.400000000,-0.20238E+06,-0.81840E+07,-0.37916E+07,-0.22135E+07,-0.56270E+06,-0.12173E+08,-0.60295E+07,-0.55888E+07,-0.19590E+07,-0.25689E+07,-0.56123E+07,-0.42939E+07,-0.17552E+08
2646.400000000,-0.19755E+06,-0.77381E+07,-0.36975E+07,-0.20645E+07,-0.57550E+06,-0.11818E+08,-0.58309E+07,-0.54648E+07,-0.19625E+07,-0.25845E+07,-0.56067E+07,-0.43034E+07,-0.17565E+08
2677.400000000,-0.12034E+06,-0.72407E+07,-0.33365E+07,-0.17428E+07,-0.10409E+06,-0.10866E+08,-0.51986E+07,-0.53785E+07,-0.19373E+07,-0.25954E+07,-0.55996E+07,-0.43063E+07,-0.17572E+08
2707.400000000,-76151.,-0.70265E+07,-0.37410E+07,0.31026E+06,-0.68138E+06,-0.11056E+08,-0.51848E+07,-0.71851E+07,-0.21842E+07,-0.27128E+07,-0.55990E+07,-0.43497E+07,-0.17585E+08
2738.400000000,-0.32793E+06,-0.72007E+07,-0.17941E+07,0.16018E+07,-0.19519E+07,-0.12255E+08,-0.55661E+07,-0.11616E+08,-0.28787E+07,-0.27664E+07,-0.55975E+07,-0.43540E+07,-0.17549E+08
2768.400000000,-0.11603E+07,-0.91224E+07,-0.83812E+07,-0.11320E+08,-0.25541E+07,-0.13797E+08,-0.63207E+07,-0.12819E+08,-0.37200E+07,-0.30661E+07,-0.56183E+07,-0.43567E+07,-0.17539E+08
2799.400000000,-0.12023E+07,-0.10110E+08,-0.73992E+07,-0.13070E+08,-0.36361E+07,-0.16481E+08,-0.79232E+07,-0.14312E+08,-0.37436E+07,-0.31532E+07,-0.56393E+07,-0.43026E+07,-0.17511E+08
2830.400000000,-0.11314E+07,-0.10911E+08,-0.72097E+07,-0.12464E+08,-0.34189E+07,-0.17332E+08,-0.84007E+07,-0.14618E+08,-0.36548E+07,-0.30252E+07,-0.56495E+07,-0.42645E+07,-0.17477E+08
2860.400000000,-0.10829E+07,-0.11233E+08,-0.67901E+07,-0.11355E+08,-0.33145E+07,-0.18028E+08,-0.87635E+07,-0.13641E+08,-0.33233E+07,-0.27183E+07,-0.56412E+07,-0.42133E+07,-0.17429E+08
2891.400000000,-0.74624E+06,-0.10912E+08,-0.57487E+07,-0.63921E+07,-0.23682E+07,-0.17085E+08,-0.82493E+07,-0.10381E+08,-0.27309E+07,-0.25354E+07,-0.56260E+07,-0.41928E+07,-0.17408E+08
2921.400000000,-0.42397E+06,-0.10005E+08,-0.47498E+07,-0.15500E+07,-0.12749E+07,-0.15559E+08,-0.75909E+07,-0.69250E+07,-0.22858E+07,-0.25922E+07,-0.56198E+07,-0.42221E+07,-0.17466E+08
2952.400000000,-0.30125E+06,-0.92066E+07,-0.41094E+07,-0.59264E+06,-0.89948E+06,-0.14341E+08,-0.70024E+07,-0.62306E+07,-0.21965E+07,-0.26214E+07,-0.56147E+07,-0.42649E+07,-0.17510E+08
2983.400000000,-0.25270E+06,-0.85530E+07,-0.38529E+07,-0.91559E+06,-0.77187E+06,-0.13489E+08,-0.65800E+07,-0.59143E+07,-0.21663E+07,-0.26357E+07,-0.56092E+07,-0.42909E+07,-0.17534E+08
3011.400000000,-0.21861E+06,-0.80559E+07,-0.38043E+07,-0.10505E+07,-0.70089E+06,-0.12894E+08,-0.62828E+07,-0.57120E+07,-0.21424E+07,-0.26414E+07,-0.56035E+07,-0.43024E+07,-0.17545E+08
3042.400000000,-0.23527E+06,-0.76148E+07,-0.37744E+07,-0.53392E+06,-0.54786E+06,-0.11915E+08,-0.58102E+07,-0.55931E+07,-0.21457E+07,-0.26461E+07,-0.55966E+07,-0.43067E+07,-0.17551E+08
3072.400000000,-0.63044E+06,-0.81054E+07,-0.38804E+07,-0.16098E+07,-0.20405E+07,-0.12982E+08,-0.63553E+07,-0.99328E+07,-0.29694E+07,-0.28810E+07,-0.56022E+07,-0.43358E+07,-0.17544E+08
3103.400000000,-0.83576E+06,-0.93537E+07,-0.63630E+07,-0.70737E+07,-0.30010E+07,-0.14627E+08,-0.70736E+07,-0.12407E+08,-0.34410E+07,-0.28745E+07,-0.56026E+07,-0.43180E+07,-0.17475E+08
3133.400000000,-0.11163E+07,-0.10176E+08,-0.64613E+07,-0.96347E+07,-0.38703E+07,-0.16654E+08,-0.80857E+07,-0.13778E+08,-0.34836E+07,-0.29014E+07,-0.56063E+07,-0.42777E+07,-0.17429E+08
3164.400000000,-0.11498E+07,-0.10730E+08,-0.55648E+07,-0.10179E+08,-0.36314E+07,-0.17405E+08,-0.82922E+07,-0.14844E+08,-0.34584E+07,-0.28028E+07,-0.56077E+07,-0.42274E+07,-0.17341E+08
3195.400000000,-0.12226E+07,-0.11417E+08,-0.58564E+07,-0.11290E+08,-0.38835E+07,-0.18727E+08,-0.89123E+07,-0.15300E+08,-0.34519E+07,-0.25783E+07,-0.55953E+07,-0.41691E+07,-0.17288E+08
3225.400000000,-0.11631E+07,-0.11853E+08,-0.60835E+07,-0.62513E+07,-0.32882E+07,-0.19016E+08,-0.90708E+07,-0.12878E+08,-0.31469E+07,-0.23154E+07,-0.55731E+07,-0.41176E+07,-0.17196E+08
3256.400000000,-0.79121E+06,-0.11643E+08,-0.53170E+07,-0.25107E+07,-0.21560E+07,-0.17654E+08,-0.82793E+07,-0.94895E+07,-0.27362E+07,-0.23745E+07,-0.55591E+07,-0.41309E+07,-0.17247E+08
3286.400000000,-0.40394E+06,-0.10660E+08,-0.44864E+07,-0.16907E+07,-0.11687E+07,-0.16177E+08,-0.75781E+07,-0.68641E+07,-0.22146E+07,-0.24913E+07,-0.55541E+07,-0.41715E+07,-0.17354E+08
3317.400000000,-0.28633E+06,-0.97615E+07,-0.38160E+07,-0.13526E+07,-0.91850E+06,-0.15150E+08,-0.70887E+07,-0.62905E+07,-0.21318E+07,-0.25427E+07,-0.55501E+07,-0.42216E+07,-0.17424E+08
3348.400000000,-0.23767E+06,-0.90667E+07,-0.38820E+07,-0.20876E+07,-0.63533E+06,-0.14101E+08,-0.65110E+07,-0.59961E+07,-0.21084E+07,-0.25697E+07,-0.55455E+07,-0.42518E+07,-0.17460E+08
