 KSTP      KPER              PERTIM         TOTIM          NCOL      NROW      ILAY      TEXT
 1         69                31.00000       2099.400       65        64        1         HEAD
 1         69                31.00000       2099.400       65        64        2         HEAD
 1         69                31.00000       2099.400       65        64        3         HEAD
 1         69                31.00000       2099.400       65        64        4         HEAD
 1         69                31.00000       2099.400       65        64        5         HEAD
 1         69                31.00000       2099.400       65        64        6         HEAD
 1         70                30.00000       2129.400       65        64        1         HEAD
 1         70                30.00000       2129.400       65        64        2         HEAD
 1         70                30.00000       2129.400       65        64        3         HEAD
 1         70                30.00000       2129.400       65        64        4         HEAD
 1         70                30.00000       2129.400       65        64        5         HEAD
 1         70                30.00000       2129.400       65        64        6         HEAD
 1         71                31.00000       2160.400       65        64        1         HEAD
 1         71                31.00000       2160.400       65        64        2         HEAD
 1         71                31.00000       2160.400       65        64        3         HEAD
 1         71                31.00000       2160.400       65        64        4         HEAD
 1         71                31.00000       2160.400       65        64        5         HEAD
 1         71                31.00000       2160.400       65        64        6         HEAD
 1         72                30.00000       2190.400       65        64        1         HEAD
 1         72                30.00000       2190.400       65        64        2         HEAD
 1         72                30.00000       2190.400       65        64        3         HEAD
 1         72                30.00000       2190.400       65        64        4         HEAD
 1         72                30.00000       2190.400       65        64        5         HEAD
 1         72                30.00000       2190.400       65        64        6         HEAD
 1         73                31.00000       2221.400       65        64        1         HEAD
 1         73                31.00000       2221.400       65        64        2         HEAD
 1         73                31.00000       2221.400       65        64        3         HEAD
 1         73                31.00000       2221.400       65        64        4         HEAD
 1         73                31.00000       2221.400       65        64        5         HEAD
 1         73                31.00000       2221.400       65        64        6         HEAD
 1         74                31.00000       2252.400       65        64        1         HEAD
 1         74                31.00000       2252.400       65        64        2         HEAD
 1         74                31.00000       2252.400       65        64        3         HEAD
 1         74                31.00000       2252.400       65        64        4         HEAD
 1         74                31.00000       2252.400       65        64        5         HEAD
 1         74                31.00000       2252.400       65        64        6         HEAD
 1         75                29.00000       2281.400       65        64        1         HEAD
 1         75                29.00000       2281.400       65        64        2         HEAD
 1         75                29.00000       2281.400       65        64        3         HEAD
 1         75                29.00000       2281.400       65        64        4         HEAD
 1         75                29.00000       2281.400       65        64        5         HEAD
 1         75                29.00000       2281.400       65        64        6         HEAD
 1         76                31.00000       2312.400       65        64        1         HEAD
 1         76                31.00000       2312.400       65        64        2         HEAD
 1         76                31.00000       2312.400       65        64        3         HEAD
 1         76                31.00000       2312.400       65        64        4         HEAD
 1         76                31.00000       2312.400       65        64        5         HEAD
 1         76                31.00000       2312.400       65        64        6         HEAD
 1         77                30.00000       2342.400       65        64        1         HEAD
 1         77                30.00000       2342.400       65        64        2         HEAD
 1         77                30.00000       2342.400       65        64        3         HEAD
 1         77                30.00000       2342.400       65        64        4         HEAD
 1         77                30.00000       2342.400       65        64        5         HEAD
 1         77                30.00000       2342.400       65        64        6         HEAD
 1         78                31.00000       2373.400       65        64        1         HEAD
 1         78                31.00000       2373.400       65        64        2         HEAD
 1         78                31.00000       2373.400       65        64        3         HEAD
 1         78                31.00000       2373.400       65        64        4         HEAD
 1         78                31.00000       2373.400       65        64        5         HEAD
 1         78                31.00000       2373.400       65        64        6         HEAD
 1         79                30.00000       2403.400       65        64        1         HEAD
 1         79                30.00000       2403.400       65        64        2         HEAD
 1         79                30.00000       2403.400       65        64        3         HEAD
 1         79                30.00000       2403.400       65        64        4         HEAD
 1         79                30.00000       2403.400       65        64        5         HEAD
 1         79                30.00000       2403.400       65        64        6         HEAD
 1         80                31.00000       2434.400       65        64        1         HEAD
 1         80                31.00000       2434.400       65        64        2         HEAD
 1         80                31.00000       2434.400       65        64        3         HEAD
 1         80                31.00000       2434.400       65        64        4         HEAD
