time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
1580.000000000,-76805.,-0.71123E+06,-0.13602E+06,-0.10821E+07,-0.48204E+07,-0.54533E+06,-0.17919E+07,-0.19379E+07,-0.12482E+08,-1295.2,-0.37522E+07,-0.12182E+07,-0.83051E+07,-0.33316E+07,-0.14312E+07,-0.10113E+07,-0.41442E+07,-0.13195E+07
1611.000000000,-81652.,-0.74986E+06,-0.14737E+06,-0.11571E+07,-0.52824E+07,-0.56468E+06,-0.21563E+07,-0.22683E+07,-0.16546E+08,-5872.1,-0.50371E+07,-0.34171E+07,-0.90256E+07,-0.41858E+07,-0.15004E+07,-0.24484E+07,-0.53184E+07,-0.14024E+07
1641.000000000,-84937.,-0.80016E+06,-0.15728E+06,-0.12195E+07,-0.57906E+07,-0.58585E+06,-0.26039E+07,-0.24934E+07,-0.19325E+08,-5645.5,-0.63047E+07,-0.47072E+07,-0.98794E+07,-0.51067E+07,-0.16081E+07,-0.37307E+07,-0.62159E+07,-0.15252E+07
1672.000000000,-86844.,-0.84649E+06,-0.16722E+06,-0.12755E+07,-0.63669E+07,-0.60435E+06,-0.30961E+07,-0.26148E+07,-0.21567E+08,-1778.1,-0.73337E+07,-0.51736E+07,-0.10636E+08,-0.59636E+07,-0.17698E+07,-0.49560E+07,-0.70730E+07,-0.17092E+07
1703.000000000,-88034.,-0.87891E+06,-0.17663E+06,-0.13448E+07,-0.67559E+07,-0.61406E+06,-0.33061E+07,-0.28780E+07,-0.21674E+08,0.0000,-0.76199E+07,-0.55329E+07,-0.11246E+08,-0.67837E+07,-0.18776E+07,-0.55399E+07,-0.74746E+07,-0.18470E+07
1733.000000000,-88772.,-0.88867E+06,-0.17893E+06,-0.13575E+07,-0.68397E+07,-0.62012E+06,-0.33235E+07,-0.28848E+07,-0.20915E+08,0.0000,-0.74311E+07,-0.48894E+07,-0.11421E+08,-0.68471E+07,-0.18715E+07,-0.48855E+07,-0.72505E+07,-0.19008E+07
1764.000000000,-90288.,-0.88937E+06,-0.17750E+06,-0.13294E+07,-0.67331E+07,-0.61328E+06,-0.31917E+07,-0.27446E+07,-0.19137E+08,0.0000,-0.67579E+07,-0.41489E+07,-0.11179E+08,-0.67027E+07,-0.18136E+07,-0.40245E+07,-0.65039E+07,-0.18871E+07
1794.000000000,-87489.,-0.84862E+06,-0.16823E+06,-0.12683E+07,-0.62941E+07,-0.59774E+06,-0.27715E+07,-0.24931E+07,-0.16468E+08,0.0000,-0.55669E+07,-0.26557E+07,-0.10316E+08,-0.57003E+07,-0.17361E+07,-0.21757E+07,-0.50557E+07,-0.17690E+07
1825.000000000,-84749.,-0.81802E+06,-0.15999E+06,-0.12101E+07,-0.59137E+07,-0.58302E+06,-0.24726E+07,-0.23098E+07,-0.15059E+08,0.0000,-0.49328E+07,-0.20311E+07,-0.98450E+07,-0.48950E+07,-0.16637E+07,-0.14591E+07,-0.42125E+07,-0.16573E+07
1856.000000000,-82112.,-0.78984E+06,-0.15258E+06,-0.11556E+07,-0.55897E+07,-0.56941E+06,-0.22385E+07,-0.21627E+07,-0.14208E+08,-3013.4,-0.45453E+07,-0.17271E+07,-0.90936E+07,-0.42900E+07,-0.15966E+07,-0.11800E+07,-0.36984E+07,-0.15541E+07
