sp,days,start_date,mid_date,year,month
270,30,2008-06-01 00:00:00,2008-06-16 00:00:00,2008,6
271,31,2008-07-01 00:00:00,2008-07-16 12:00:00,2008,7
272,31,2008-08-01 00:00:00,2008-08-16 12:00:00,2008,8
273,30,2008-09-01 00:00:00,2008-09-16 00:00:00,2008,9
274,31,2008-10-01 00:00:00,2008-10-16 12:00:00,2008,10
275,30,2008-11-01 00:00:00,2008-11-16 00:00:00,2008,11
276,31,2008-12-01 00:00:00,2008-12-16 12:00:00,2008,12
277,31,2009-01-01 00:00:00,2009-01-16 12:00:00,2009,1
278,28,2009-02-01 00:00:00,2009-02-15 00:00:00,2009,2
279,31,2009-03-01 00:00:00,2009-03-16 12:00:00,2009,3
280,30,2009-04-01 00:00:00,2009-04-16 00:00:00,2009,4
281,31,2009-05-01 00:00:00,2009-05-16 12:00:00,2009,5
282,30,2009-06-01 00:00:00,2009-06-16 00:00:00,2009,6
283,31,2009-07-01 00:00:00,2009-07-16 12:00:00,2009,7
284,31,2009-08-01 00:00:00,2009-08-16 12:00:00,2009,8
285,30,2009-09-01 00:00:00,2009-09-16 00:00:00,2009,9
286,31,2009-10-01 00:00:00,2009-10-16 12:00:00,2009,10
287,30,2009-11-01 00:00:00,2009-11-16 00:00:00,2009,11
288,31,2009-12-01 00:00:00,2009-12-16 12:00:00,2009,12
289,31,2010-01-01 00:00:00,2010-01-16 12:00:00,2010,1
290,28,2010-02-01 00:00:00,2010-02-15 00:00:00,2010,2
291,31,2010-03-01 00:00:00,2010-03-16 12:00:00,2010,3
292,30,2010-04-01 00:00:00,2010-04-16 00:00:00,2010,4
293,31,2010-05-01 00:00:00,2010-05-16 12:00:00,2010,5
294,30,2010-06-01 00:00:00,2010-06-16 00:00:00,2010,6
295,31,2010-07-01 00:00:00,2010-07-16 12:00:00,2010,7
296,31,2010-08-01 00:00:00,2010-08-16 12:00:00,2010,8
297,30,2010-09-01 00:00:00,2010-09-16 00:00:00,2010,9
298,31,2010-10-01 00:00:00,2010-10-16 12:00:00,2010,10
299,30,2010-11-01 00:00:00,2010-11-16 00:00:00,2010,11
300,31,2010-12-01 00:00:00,2010-12-16 12:00:00,2010,12
301,31,2011-01-01 00:00:00,2011-01-16 12:00:00,2011,1
302,28,2011-02-01 00:00:00,2011-02-15 00:00:00,2011,2
303,31,2011-03-01 00:00:00,2011-03-16 12:00:00,2011,3
304,30,2011-04-01 00:00:00,2011-04-16 00:00:00,2011,4
305,31,2011-05-01 00:00:00,2011-05-16 12:00:00,2011,5
306,30,2011-06-01 00:00:00,2011-06-16 00:00:00,2011,6
307,31,2011-07-01 00:00:00,2011-07-16 12:00:00,2011,7
308,31,2011-08-01 00:00:00,2011-08-16 12:00:00,2011,8
309,30,2011-09-01 00:00:00,2011-09-16 00:00:00,2011,9
310,31,2011-10-01 00:00:00,2011-10-16 12:00:00,2011,10
311,30,2011-11-01 00:00:00,2011-11-16 00:00:00,2011,11
312,31,2011-12-01 00:00:00,2011-12-16 12:00:00,2011,12
313,31,2012-01-01 00:00:00,2012-01-16 12:00:00,2012,1
314,29,2012-02-01 00:00:00,2012-02-15 12:00:00,2012,2
315,31,2012-03-01 00:00:00,2012-03-16 12:00:00,2012,3
316,30,2012-04-01 00:00:00,2012-04-16 00:00:00,2012,4
317,31,2012-05-01 00:00:00,2012-05-16 12:00:00,2012,5
318,30,2012-06-01 00:00:00,2012-06-16 00:00:00,2012,6
319,31,2012-07-01 00:00:00,2012-07-16 12:00:00,2012,7
320,31,2012-08-01 00:00:00,2012-08-16 12:00:00,2012,8
321,30,2012-09-01 00:00:00,2012-09-16 00:00:00,2012,9
322,31,2012-10-01 00:00:00,2012-10-16 12:00:00,2012,10
323,30,2012-11-01 00:00:00,2012-11-16 00:00:00,2012,11
324,31,2012-12-01 00:00:00,2012-12-16 12:00:00,2012,12
325,31,2013-01-01 00:00:00,2013-01-16 12:00:00,2013,1
